IPMI_IP,ScanMode,Status,TimestampUTC
172.16.135.57,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.58,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.59,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.60,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.77,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.78,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.79,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.135.80,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.10,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.11,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.12,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.13,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.14,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.15,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.16,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.17,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.18,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.19,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.2,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.20,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.3,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.37,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.38,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.39,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.4,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.40,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.5,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.57,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.58,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.59,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.6,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.60,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.7,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.77,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.78,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.79,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.8,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.80,udp_623,EXISTING,2026-04-27T08:10:24+00:00
172.16.147.9,udp_623,EXISTING,2026-04-27T08:10:24+00:00
